Schedule,Depth,Operator Name,State Details
1,1,alloys_transform,"(TRANSFORM Atlantis (INPUTS (('R1', 1050), ('R2', 700)) (OUTPUTS (('R1', 1050), ('R21', 350), (""R21'"", 350)))  EU: 4683.071991549298"
1,2,potentialRenewableEnergyUsable_transform,"(TRANSFORM Atlantis (INPUTS (('R1', 150), ('R4', 50), ('R7', 50), ('R21', 100)) (OUTPUTS (('R1', 150), ('R27', 50), (""R27'"", 50)))  EU: 5039.328026934043"
1,3,potentialFossilEnergyUsable_transform,"(TRANSFORM Atlantis (INPUTS (('R1', 99), ('R5', 99), ('R6', 33), ('R21', 66)) (OUTPUTS (('R1', 99), ('R26', 33), (""R26'"", 33)))  EU: 5130.281934456974"
1,4,farm_transform,"(TRANSFORM Atlantis (INPUTS (('R1', 125), ('R4', 25), ('R3', 50), ('R21', 50), ('R5', 75)) (OUTPUTS (('R1', 125), ('R25', 25), (""R25'"", 75)))  EU: 5106.505139094017"
1,5,food_transform,"(TRANSFORM Atlantis (INPUTS (('R25', 8), ('R5', 24), ('R21', 16)) (OUTPUTS (('R24', 24), (""R24'"", 8)))  EU: 10150.737262043875"
,,,
