Schedule,Depth,Operator Name,State Details
5,2,electronics_transform,"(TRANSFORM Atlantis (INPUTS (('R1', 9), ('R2', 3), ('R21', 3)) (OUTPUTS (('R22', 3), (""R22'"", 3), ('R1', 9)))  EU: 37.17247083333333"
5,3,alloys_transform,"(TRANSFORM Atlantis (INPUTS (('R1', 24), ('R2', 16)) (OUTPUTS (('R1', 24), ('R21', 8), (""R21'"", 8)))  EU: 40.96109062499999"
5,4,housing_transform,"(TRANSFORM Atlantis (INPUTS (('R1', 5), ('R2', 1), ('R3', 5), ('R21', 3)) (OUTPUTS (('R1', 5), ('R23', 1), (""R23'"", 1)))  EU: 43.967286935661754"
5,5,alloys_transform,"(TRANSFORM Carpania (INPUTS (('R1', 24), ('R2', 16)) (OUTPUTS (('R1', 24), ('R21', 8), (""R21'"", 8)))  EU: 41.76892258887866"
5,6,transfer,(TRANSFER Carpania Atlantis (R21 6))  EU: 41.936512919776504
5,7,transfer,(TRANSFER Carpania Atlantis (R21 1))  EU: 40.092344824184835
5,8,transfer,(TRANSFER Atlantis Carpania (R21' 18))  EU: 38.2068391426774
5,9,transfer,(TRANSFER Atlantis Carpania (R22' 3))  EU: 36.32439351508665
5,10,potentialRenewableEnergyUsable_transform,"(TRANSFORM Atlantis (INPUTS (('R1', 6), ('R4', 2), ('R7', 2), ('R21', 4)) (OUTPUTS (('R1', 6), ('R27', 2), (""R27'"", 2)))  EU: 34.512031778900244"
,,,
